save_path,text
Alexander Ryle/video_40_start_3-42-15.mp4,"Mange tak. Når et byggeri eller etableringen af infrastruktur finder sted, bør det, som det også sker i dag, foretages på et konkret projektsspecifikt grundlag og på baggrund af en dokumenteret risikovurdering, og et generelt forbud vil potentielt øge omkostningsniveauet ved nyetablering af byggeri og infrastruktur fremadrettet. I forbindelse med håndteringen af jordforurening er det generelt vigtigt med en hård prioritering af ressourcerne, så indsatsen placeres der, hvor der er en dokumenteret risiko for mennesker og miljø, og der findes i dag allerede en lang række teknikker til håndtering af jordforurening i forbindelse med byggeri og anlægsarbejde, som sikrer mod en fremtidig risiko, og som giver mulighed for oprensning uden øgede omkostninger, helt i henhold til den eksisterende jordforureningslov. Derfor mener vi i Liberal Alliance, at SF's forslag om et generelt forbud er en meget ufleksibel løsning på et problem, som der allerede findes lovgivning om. Men hvis jeg alligevel skal vise en vis form for åbenhed i forhold til det forslag, som SF er kommet med, så synes jeg jo egentlig, at der er nogle dele, f.eks. det her med ensartede krav til, hvor højt indendørsluftens indhold af kemikalier må være, som det godt kunne give god mening at kigge lidt på igen. For som ministeren jo også var inde på, har man valgt at prioritere drikkevandet, naturen og menneskers sundhed, men vi bruger jo også mange timer på vores arbejdsplads, så derfor synes jeg jo også, at der bør være en høj kvalitet af luften der. For det påvirker jo også sundheden og sikkerheden. Så der er en lille åbning over for dele af forslaget, men vi kan altså ikke støtte det samlede forslag, primært på grund af forbudselementet, som er lidt for rigidt til vores mave."
Alexander Ryle/video_40_start_3-45-24.mp4,"Altså, det er jo vores generelle opfattelse, at loven, som den er i dag, allerede kan håndtere de udfordringer, der er. Så kan man måske kigge lidt på, om det altid bliver håndhævet, altså så meget, som det burde. Men reglerne synes vi er fine. Jeg ved ikke, om det var ministeren eller en af de tidligere ordførere, der var inde på det, men det handler jo også meget om prioritering af ressourcerne, fordi der er så meget forurenet jord, at nogle gange er man nødt til at prioritere, hvor det er, man sætter ind. Og så er det lidt for rigidt at sige, at så skal der fremsættes et lovforslag om et forbud om sådan helt generelt at bygge og anlægge infrastruktur. Så ja, jeg synes, reglerne er fine som de er i dag, hvis de bliver håndhævet tilstrækkeligt, og så er vi åbne for at kigge på den anden del af SF's forslag."
Anders Kronborg/video_41_start_3-38-46.mp4,"Først og fremmest vil jeg sige tak for en god ordførertale. Det var jo nærmest et ekko af min egen tale, og det understreger jo den bredde, der er herinde i Folketinget, til at gå seriøst til værks i forhold til konventionerne. Det er jeg faktisk rigtig glad for. Vi er lidt tilbage i historiebøgerne i den her debat, må vi jo nok erkende, og jeg anerkender, at Danmarksdemokraterne er et nyt parti og således heller ikke kan have ansvaret for fortiden. Men jeg har jo været lidt tilbage i annalerne, og hvad jeg sådan kan sjusse mig frem til, har man, mens der var et borgerligt flertal tilbage i 00'erne, også stemt for at give rigtig mange mennesker statsborgerskab. Jeg har selv kunnet tælle mig frem til, at 14 gange har Dansk Folkeparti med fru Pia Kjærsgaard i spidsen stemt for, og der er faktisk i de 14 lovforslag, man har stemt for, omkring 35.000 mennesker, der har fået dansk statsborgerskab med stemmer fra Dansk Folkeparti. Jeg vil bare høre ordføreren, om det i ordførerens optik er mange eller få."
Anders Kronborg/video_41_start_4-33-32.mp4,"Tak for det, og tak for en, synes jeg, tale, der førte os lidt tilbage i historiebøgerne, og man skal selvfølgelig også tilbage i historien for at blive klogere i forhold til fremtiden. Jeg har jo selv interesseret mig lidt for den 11. december 2002. Det er sådan cirka et år, efter at VK-regeringen sad ved magten. Anders Fogh Rasmussen var statsminister, og fru Pia Kjærsgaard og Dansk Folkeparti var støtteparti. Da kom der et lovforslag her i Folketingssalen omkring indfødsret. Dansk Folkeparti stemte for, og det gør de 13 gange efterfølgende, har jeg noteret mig. Det vil sige, at 14 gange har Dansk Folkeparti stemt for loven om indfødsrets meddelelse, og i forhold til hvad jeg kan se, er det omkring 35.000 mennesker, som Dansk Folkeparti har været med til at give statsborgerskab i Danmark. Det kunne jeg godt tænke mig at høre om ordføreren vil bekræfte, altså at det forholder sig sådan."
Betina Kastbjerg/video_44_start_4-22-20.mp4,"Tak for ordet, formand. Beslutningsforslaget, som vi skal drøfte i dag, er både relevant og nødvendigt. Vores nuværende viden om gerningspersoner i voldtægtssager stammer fra en undersøgelse tilbage fra 2009; det er lidt ligesom at bruge en gammel mobiltelefon i en verden er smartphones – det virker bare ikke længere. Der er sket en markant stigning i antallet af anmeldte voldtægter, og vores samfund har ændret sig siden 2009. Vi har nye love som samtykkeloven fra 2020, og metoobevægelsen har også haft stor indflydelse. Det betyder, at vores nuværende tilgang baseret på de gamle data simpelt hen ikke er opdateret nok. Vi har brug for at forstå, hvem gerningspersonen er i dag, og hvad der driver dem. Med en stigende kompleksitet og ændringer i anmeldelsesmønstre er det nødvendigt at få en opdateret vurdering af situationen. Det handler ikke bare om statistikker, det handler om at beskytte vores samfund bedst muligt. Nu nævnte jeg samtykkeloven tidligere, og den er også vigtig i denne sammenhæng. Vi kan ikke ignorere, hvordan indførelsen af samtykkeloven i 2020 har påvirket antallet af anmeldelser af voldtægter Samtykkeloven var en milepæl, der ændrede den måde, vi ser og definerer voldtægt på. Men med forandring kommer udfordringer. Undersøgelser har vist, at siden loven trådte i kraft, har fire ud af ti unge mænd svært ved at afgøre, om der er det fornødne samtykke til sex. Det betyder, at samtykkeloven ikke kun har ændret spillereglerne for retsforfølgelse, men også har skabt en vis usikkerhed og forvirring om samtykke. Derfor er det afgørende, at vi forstår, hvordan samtykkeloven har formet anmeldelsesmønstrene, så vi kan tilpasse vores tilgang til at håndtere voldtægtssager. En ny undersøgelse vil give os en nødvendig indsigt og bidrage til at sikre, at lovgivningen ikke blot er et stykke papir, men også en effektiv vejledning for retfærdighed. Med det sagt støtter Danmarksdemokraterne naturligvis forslaget."
Betina Kastbjerg/video_44_start_5-34-01.mp4,"Tak for ordet. I Danmark varetægtsfængsler man, hvis den sigtede har gjort noget strafbart, som har en strafferamme på 1 år og 6 måneders fængsel. Derudover skal dommeren vurdere, at der er en risiko for, at den sigtede flygter, at den sigtede vil begå nye lovovertrædelser, eller at den sigtede vil prøve at forhindre opklaringen af sagen, f.eks. ved at slette sine spor eller påvirke vidner eller medgerningsmænd. Det synes jeg sådan set er ret fine argumenter for at varetægtsfængsle. I Danmarksdemokraterne ønsker vi ikke, at gerningsmænd, som kunne være sigtet for frygtelige forbrydelser, skal kunne gå frit rundt og kommunikere med omverdenen og potentielt obstruere en efterforskning, som vi så det med ubådssagen. Vi mener i Danmarksdemokraterne heller ikke, at vi af hensyn til f.eks. ofre for personfarlig kriminalitet kan tage så store hensyn til gerningsmanden, som det i så omfattende grad foreslås med forslaget. Det er vores klare overbevisning, at for at bevare borgernes retsfølelse og retssikkerhed er det nødvendigt, at varetægtsarrestanter forbliver bag lås og slå. I Danmarksdemokraterne står vi altid på offerets side. Forslagsstillerne henviser til svaret på spørgsmål 382 fra Retsudvalget af 6. marts 2023 om hyppigere og længere varetægtsfængslinger. Men tabellen siger jo noget andet. Her kan man se, at antallet af varetægtsfængslinger er faldet støt fra 2014 til 2022. Til gengæld er det korrekt, at de varetægtsfængslede sidder længere i varetægt i 2022, end de gjorde i 2014. Men det skal jo bl.a. nok også ses i lyset af de lange ventetider hos domstolene. Nu har vi lige indgået en ny flerårsaftale om domstolene med henblik på at nedbringe de lange ventetider, så jeg forstår heller ikke helt grundlaget for at fremsætte beslutningsforslaget. Så i Danmarksdemokraterne kan vi ikke støtte forslaget."
Birgitte Vind/video_40_start_1-48-19.mp4,"Igen skal vi huske, at natur og miljø er noget, vi deler med hinanden. Så hvad du gør i én kommune, og hvad du undlader at gøre i én kommune, påvirker også andre kommuner. Det gør det også i forhold til biodiversiteten. Derfor synes jeg ikke, det er så enkelt. Men ordføreren har fuldstændig ret i, at der også er lavet aftaler om bymidter osv. Det er også noget, vi sætter rigtig stor pris på, altså at lave de her aftaler. Men igen er det jo noget, vi stadig væk har hånd i hanke med og holder øje med og kan følge, så vi ikke går længere, end at vi også stadig væk her i Folketinget kan tage det overordnede ansvar."
Birgitte Vind/video_40_start_1-50-09.mp4,"Jeg synes, vi skal huske, at når vi frisætter, handler det netop om, at man har frihed til at gøre noget. Og så skal man jo diskutere herinde, hvor meget kontrol vi så mener der skal være med den her frisættelse, specielt når det kommer til natur- og miljøområdet. Det er for at tage det som eksempel. Jamen så vil det jo påvirke andre kommuner. Det er rigtigt, at det selvfølgelig godt kan være positivt, men jeg hører også ministeren sige, at man jo ikke lukker nogen døre i forhold til, om der er andre emner, man kan tage op og se på. Der er jo ikke noget, der er statisk i politik, og det kan da godt være, at der vil være nogle områder, hvor vi, ligesom vi har gjort det med grønne bymidter, kan lave nogle aftaler, som vi kan sprede ud til flere kommuner."
Birgitte Vind/video_40_start_2-31-48.mp4,"Tak for det. Og tak til ordføreren for at fremlægge sine synspunkter. Ordføreren nævner bl.a. planloven som et af de steder, hvor man måske skulle sætte kommunerne fri. Jeg ved ikke, om ordføreren er bekendt med det, men det er jo ikke mange uger siden, at man sidst ændrede i planlovgivningen, så det faktisk nu er muligt for kommunerne at blive sat fri f.eks. i forhold til herregårdslandskaber, hvor man kan sætte solceller og vindmøller op. Jeg ved ikke, om ordføreren er bekendt med det."
Birgitte Vind/video_40_start_2-33-22.mp4,"Tak. Det er jeg glad for at ordføreren er klar på, for det betyder jo netop og viser netop, at vi godt kan gå ind og se på at give kommunerne nogle lempelige regler, hvis vi ellers sætter os ned sammen. Og det er jo sådan set det, det hele handler om. Det, som jeg synes er lidt ærgerligt at ordføreren så bevæger sig ud i, er at kalde regeringen magtfuldkommen. Jeg ved ikke, om det præcis var det ord, men det var sådan, jeg tolkede det. Altså, jeg synes netop, der bliver lyttet, og jeg synes netop, at vi sætter os ned og får lavet brede aftaler, og så vidt jeg ved, er Enhedslisten også med i nogle af de meget brede aftaler, vi laver. 85 pct. af de aftaler, vi laver her i Folketinget, er jo lavet på tværs af Folketingssalen."
