hviske,file
"Nu bliver jeg ikke så berørt, at det ordføreren siger lige nu, fordi jeg ved, at ordføreren kender mig godt nok til, at vagtafgange, det er nok ikke lige det, der ligger i min DNA.Det jeg opfordrer til, det er, kom med nogle konkrete, mere, flere konkrete eksempler, lad os få sat ind, fordi der er jo ikke nogen herinde, der er uenige i, at vi skal sætte ind på alle parametre, som vi kan, i den krise, vi er i lige nu.Så kom man nu konkret, der er ikke noget, der bliver fejret af bordet, vi tager det hele op, der bliver arbejdet hårdt og konstruktivt over fra ministeriets, så kom med jeres forslag.",Charlotte Bagge Hansen_video_40_start_2-08-20
"To ting vil jeg sige i forhold til det her med at styrke sprogstøttens sprogsscreeningen, og der har også været tidligere aftaler tilbage i tid omkring styrkelse af, hvordan vi indretter danskundervisningstilbuddene, og treparten for treogtyve blev der afsat en pulje til særlig indsats for fastholdelse af elever, også med fokus på sprogstøtte.Næste korte bemærkninger til fru Kirsen Norman Andersen, sf.",Mette Kierkgaard_video_44_start_6-21-56
"Der er fremskridt, der er også andre fremskridt omkring for eksempel de forhandlinger, der har været i OECD, omkring fælles minimumssatser, som jo også er en måde at komme noget af det her til livs, og de her forskellige mekanismer, som man arbejder på at indføre for at kunne beskatte de virksomheder, som ikke bliver beskattet ordentligt der, hvor de er hjemmehørende. Så internationalt samarbejde både i EU og i OECD er jo helt afgørende for at få gjort noget ved det her, der er svært at gøre som et enkeltland, selv om vi kun tager initiativ af i Danmark også. Så det er positivt. Problemet er, at de kriterier, at EU bruger for sortliste, er relativt limpelige, og det vil sige, at nogle af de lande, der bliver taget af listen, kan man godt diskutere, er de rent faktisk ikke stadigvæk skattelødelande, ogene, og er de stadig en belastning af vores evne til at kunne indkræve de skatter, som vi bør for de selskaber, som tjener penge på operæet i Danmark.",Pelle Dragsted_video_41_start_2-47-30
"Det er jeg glad for ordførerne er klar på, fordi det betyder netop, aviser og netop, at vi jo godt kan gå ind og se på at give kommunerne nogle lempelige regler, hvis vi ellers sætter os ned sammen. Og det er jo sådan set det, det hele handler om. Det, jeg synes, er lidt ærgerligt, at ordførerne så bevæger sig ud i, det er at kalde regeringen magtfuldkommen. Jeg ved ikke, om det var det præciste ord, det var sådan, jeg tolkede det. Jeg synes, det netop bliver lyttede, jeg synes jo netop, at vi sætter os ned og får lave, brede aftaler, så vi er da ved at enes os med nogle af de meget brede aftaler, vi laver, femogfirs procent af de aftaler, vi laver her i folketinget, er på tværs af folketingssagen.",Birgitte Vind_video_40_start_2-33-22
"Hvad skal jeg trykke på?Sproget er en kompetence, men at det i lige så høj grad også er en kompetence at kunne udøve omsorgen. Så egentlig bare, inden ordførslen bliver lagt sådan, alt muligt i munden med det frie marked og andre ting, egentlig bare bed ordførslen uddybe, hvad der var intentionen i talen. Ordfør. Jamen, intentionen i talen.",Mai Mercado_video_44_start_7-13-12
"Og om et byggeri eller etablering af infrastruktur kan finde sted, bør som dør sker i dag, foretages på et konkret, projektspecifikt grundlag og på baggrund af en dokumenteret risikovurdering.Et generelt forbud vil potentielt øge omkostningsniveauet ved nye etableringer af byggeri og infrastruktur fremadrettet, og i forbindelse med håndtering af jordforureningen er det generelt vigtigt med en hård prioritering af ressourcerne, mod fremtidige risiko og mulighed for opretning uden øgede omkostninger helt i henhold til den eksisterende jordforureningslov.Derfor mener vi i liberal alliance, at SFs forslag om et generelt forbud er en meget ufleksibel løsning på et problem, som der allerede findes lovgivning om.Men hvis jeg alligevel skal vise en vis form for åbenhed i forhold til det forslag, som SF er kommet med sig, så synes jeg ueniglig, at der er nogle dele, for eksempel det her med ensartet krav til, hvor højt indendørsluftens indhold af kemikalier må være, som godt kunne give god mening at kigge lidt på igen, fordi, som ministeren jo var inde på, så har man valgt at prioritere drikkevand, natur og menneskers sundhed, men vi bruger også mange timer på vores arbejdsplads, så derfor synes jeg jo også, at der bør være en høj kvalitet af luften der, fordi det jo også påvirker sundhed og sikkerhed. Så med en lille åbning for dele af forslaget, men altså, vi kan ikke støtte det samlede forslag, primært på grund af forbudselementet, som er lidt for riggede til vores mag.",Alexander Ryle_video_40_start_3-42-15
"Jeg vil sige, det spørgsmål, som der rejses her i forhold til udenlandsk arbejdskraft, skal selvfølgelig også vejes ind i den videre proces med det her forslag, det tænker jeg sådan set er en helt naturlig del af det, jeg synes, som ministeren var inde på, at man med rette kunne kigge mod for eksempel løllande, som har gjort sig gode erfaringer, og tage imod udenlandsk arbejdskraft allerede.Og der er i hvert kort bemærkninger tak til fru Fie Hækkerup, socialdemokrat,",Fie Hækkerup_video_44_start_6-37-21
" offentligt mange gange, at da jeg var helt ung, der havde jeg et idolplakat af fru Pia Kjærsgaard hængende på mit værelse. Danmarks hjemmehjælp stod der, fordi jeg har nemlig også altid kæmpet for hjemmeplejeren, det har fru Pia Kjærsgaard også gjort. Så tak for det. Når det så er sagt, så synes jeg, der var sådan en lidt kedelig ordveksling tidligere i dag foranledig af, at fru Pia Kjærsgaard stillede mig et spørgsmål, mens jeg var på ordførstolen. Og når jeg nu tager det op igen, det er fordi, jeg synes, at fru Per Kjærsgaard stillede det rigtige spørgsmål til mig. Jeg synes, at Per Kjærsgaard skulle have stillet det spørgsmål til mig, om hvad det er, at danmarksdemokraterne så vil stemme til det her lovforslag, eller det her beslutningsforslag, hvis det kom til afstemning. Og så havde jeg sagt, så stemmer vi for. Men det undlod for Pia Kjærsgaard og stillede spørgsmål, det synes jeg bare er hamrende ærgerligt, og derfor vil jeg gerne lige sige det, at vi stemmer altså for, at danmarksdemokraterne det mandat har jeg fået af folketingsgruppens tillad til. Ordfører. Jamen, det må jeg altså sige, det synes jeg i den grad burde have været",Marlene Harpsøe_video_44_start_7-30-37
"Hvad er det, der er vigtigst for os?Og der bliver kort bemærkelse, tak til de amerikanske konservative folkepartier.",Mai Mercado_video_44_start_3-35-25
"Tak for ordet, formand.Hvis man følger debatten derhjemme, så kan man godt få indtryk af, at det her er en ren ekspeditionssag, og at vi er enige i folketinget. Og det sidste vil jeg bekræfte, jeg tror, vi er enige, at selvfølgelig opdaterer vi listen over lande på den danske defensive foranstaltninger i forhold til skattelyen og EUs skattelyliste også gør det.Jeg vil lige knytte et par ord til EUs skattelyd eller liste over skattelivanden, dels fordi listen er mangelfuld, og dels fordi den så også faktisk kan have en effekt.Når listen kan have en effekt, så er det jo fordi, at den lægger et pres på de enkelte land i forhold til atke virksomheder, som har investeret i det land, så er formentlig ikke til at forstå.Det andet er jo så, at EUs liste desværre er stærkt mangelfulde, og det er den først og fremmest fordi, at europæiske lande ikke kan optræde på skattelysningen, selv om vi ved fra utallige læg, at der er klare skattely i Europa, man kan nævne Luxembourg som et af dem.Det er lande, som slås op på og sikrer, at virksomheder betaler end for lav skat, ikke udveksler skatteoplysninger med andre europæiske skattemyndigheder, og som derfor på alle måder lever op til kravene til at være på listen over skattelyanen. Det bør ændres, det kan vi ikke gøre her for folketinget, det er et spørgsmål i EU, men det er problematisk. På samme måde så ved vi også, at der er en række skattely uden for EU, som heller ikke er opført på listen, og det er skattely som Cayman Island og Bermuda, som har utallige læg og utallige eksempler på, at der bliver spekuleret i skatten. Så i SF så støtter vi selvfølgelig, at vi opdaterer den danske lovgivning i forhold til hvert fald nogle lande, der skal have sanktioner.Det indbefatter, som ordføreren for venstre, Hakeem Valentin, siger selvfølgelig også, at de lande, der nu lever op til kravene, bliver flyttet ud af dem, der skal have sanktioner, og samtidig så er vi stadig kritiske over for, at EUs skattelist ikke er fyldt skøren.",Sigurd Agersnap_video_41_start_2-35-17
"Jeg vil stille spørgsmålene til beslutningsforslaget, også fordi selv om jeg synes det usædvanligt, det er et dårligt beslutningsforslag, så bliver jeg begyndt til at sige, hvor konkret nogle beslutningsforslag er, at moderaterne mener, vi skal komme med, før vi kan få lov til, at moderaterne synes det en god ide, hvor konkret skal vi være, at den næste gang, at de radikale venstre kommer med et beslutningsforslag på de grønne områder, så skal de sige på matrikelnummer D og D i den og den kommune, der ønsker vi, at det her bliver endret.Eller kan man gøre det sådan mere generalistisk og sige, at inden for den her kommunegrænse, synes vi, at der er det ok at lave bedre vilkår.Eller er det simpelt for generalistisk, inden for de otte halvfems kommunegrænser.",Kim Edberg Andersen_video_40_start_2-15-42
"Jeg er så presset for den anden flåg her, jeg tror, jeg står fast på mit synspunkt, og det gør jeg af den grund, at jeg synes, det ligger faktisk også lidt i spørgerens kommentarer og begrundelser for spørgsmålet, fordi enfamiliershuse vadser med tofamiliershuse, altså, jeg synes ikke, der er meget logik at hente ved at gå den vej, logiken vil være for mig selv, og det vil også være den opskrift, at den rette snor, jeg synes, vi skal følge fremover, når vi skal videre, at den vej når markedet, og det er vi jo så enige omige om, bliver bygget op, og det bliver nogle værdier, man har, for det faktisk kan være en værdie at sælge videre, det man får brudt ned på sin grund.Men der vil det også være kvadratmeter, nu er det så startet med to hundrede halvtreds kvadratmeter, når man vil gå længere ned, så vil det også være, synes jeg, klogest og det reneste snit, og nemmest at forstå for alle håndværker og nedrivningsvirksomheder, grundejer og så videre, perlmeterregler, når den, synes jeg, vi skal holde fast i.",Magnus Heunicke_video_40_start_1-14-14
"Jeg siger her, det er nemlig rigtig, rigtig vigtigt i hverdagen for de ældre borgere, fordi man skal jo prøve at satse sig i deres situation.Man er måske blevet svækket med alderdommen, man har fået nogle skavanker, man kan ikke foretage sig de samme ting, som man kunne før, så man har ikke brug for flere udfordringer, blandet ikke i forhold til, om man rent faktisk kan forstå det plejepersonale, der kommer og skal give en den hjælp i den sårbar situation, som det er, man står i. Ordføreren? Jamen, det vil jeg bare sige.",Marlene Harpsøe_video_44_start_6-48-03
" at være andre bagvedliggende forklaringer. Jeg vil bare være meget, meget, meget tilbageholdende med at konkludere, at det fordi vi nødvendigvis varetægtsfængsler for meget, det kunne for eksempel også godt være, at man i Sverige varetægtsfængslet for lidt i forhold til de enorme kriminalitetsudfordringer, som man har derovre, og derfor er jeg bare meget varsom med at konkludere skarpt på, at svaret på denne her problemstilling her, denne her helt åbenlyste udfordring, fordi det er jo klart, når man har eksempelvis i vesterfængsel et belæg, så er det for karimelorensen det ene harde socialistis folkparti.",Peter Hummelgaard_video_44_start_4-59-30
"Jamen, tak for det, og tak, synes jeg, også for en tale, der fører os lidt tilbage i historiebøgerne, og man skal selvfølgelig også tilbage i historien for at der er for at være forholder sig sådan.",Anders Kronborg_video_41_start_4-33-32
"Det er en forfald, blasfemiparagraf i Danmark, der blev afskaffet nogle år siden, og regeringen har igen indført den.Det, regeringen har gjort, yderligere med opbakningen i folketinget, som jo ikke skal deponere, går jeg ud fra sin holdning hos nogle organer nogle steder, det er et målrettet indgreb for at afværge en helt konkret situation, hvor det de facto var sådan, at der fandt daglige systematiske krænkelser sted, og det kunne stort set isoleres til noget, der skete i Danmarkers vejrd i den situation, vi har forholdt os til?Jeg må bare sige igen, jeg har intet sted, og heller ikke i Washington, mødt kritik i den måde, den danske regering håndtede denne årsag på.",Lars Løkke Rasmussen_video_41_start_0-13-19
