whisper-large-v2,file
" Jeg er præst for den anden flå. Jeg står fast på mit synspunkt. Det ligger i spørgerens kommentarer og begrundelser for spørgsmålet. Enfamilieshuse, hvad med tofamilieshuse? Der er ikke meget logik at hente ved at gå den vej. Logikken vil være at se. Det vil også være den rettesnore, vi skal følge fremover. Når vi skal videre,år markedet bliver bygget op, og det bliver nogle værdier, man har, for det faktisk kan være en værdi at sælge videre det, man får brugt ned på sin grund. Men der vil det også være min indstilling, at der vil det også være kvadratmeter. Nu er det så startet med 250 kvadratmeter. Når man vil gå længere ned, så vil det også være det reneste snit. Og nemmest at for stå for alle håndværker, nedrivningsvirksomheder, grundejere osv. prædammet af reglen, og den synes jeg, vi skal holde fast til.",Magnus Heunicke_video_40_start_1-14-14
" Det tror jeg, det er helt klart, at det kan være en vej at gå, at vi sætter os sammen og siger, okay, hvad kan vi opnå politisk enighed om? Skal jeg håndtere os i forordningen? Hvad kan vi begynde at gøre allerede nu? Og hvilke ting synes vi er vigtige, som forordningen ikke kommer til at håndtere? Forordningen kommer jo ikke til at håndtere det faktum, at hvis der er nogen, der har ondt i sigte og vil bruge deepfakes og andre teknologier til at sprede misinformation og destabilisere vores samfund, så er det jo ligegyldigt, at vi har en forordning, fordi de er jo kriminelle og har ikke tænkt sig at overholde loven alligevel. Så det kommer jo ikke til at betyde nogen forskel, om man har en forordning eller ej. Og hvad gør vi for at sikre, at vi har nogle gode, stærke institutioner og medier, hvor folk fortsat vil søge hen for at få sand og troværlig information. Det er en kæmpe udfordring, som forordningen jo ikke kommer til at løse. Så jeg tror sagtens, vi kan finde fælles fodslag. Det er jeg i hvert fald interesseret i.",Lisbeth Bech-Nielsen_video_41_start_2-30-46
" Og det er ikke sådan nogle udtryk, der vil kendetegne den nye ældrelov, som bliver lagt på bordet. For så kan jeg sige på forhånd, så står Dansk Voldtparti af. Altså en ældrelov skal indeholde noget, som man kan forstå. Flersprogspædagogik. Altså jeg må bede ordførerne om at glemme det ord. Og så sige stadigvæk, at de nationale standarder, jamen det har jo ikke sprog at gøre med byråkrati. Tværtimod er afbyråkratiseringen det nationale standard på, at man skal kunne sproget. Hvorfor?",Pia Kjærsgaard_video_44_start_6-33-24
" Jeg har meget tvivl om, at når der fx på russisk side er udtrykt positive ord om det her, så vil jeg tro, at der ligger alle mulige andre intentioner nede bag, så det er ikke en rus eller en støtte, jeg læner mig op ad. Jeg læner mig op ad bevidstheden om, at det, regeringen har gjort, det er klogt. Og jeg har, må jeg sige, ikke bare en oplevelse af, men faktisk viden om, at det indgreb, vi har foretaget med Folketingsopbakning, har jeg ikke mødt hos nogen kolleger noget sted i verden nogen kritik af.",Lars Løkke Rasmussen_video_41_start_0-14-56
" der trods alt ønsker at sætte det her i gang. Og det håber jeg, at regeringen lytter til, ligesom jeg også håber, at de lytter til de mange organisationer, som også peger på, at vi har behov for den her undersøgelse. Herunder faktisk også mandecentret. Og det synes jeg jo er interessant, at det både er kvindeorganisationer og organisationer, der repræsenterer mænd, som mener, at vi har brug for mere viden på det her område. Og det synes jeg faktisk, vi skylder offrene og sikrer, at det kommer.",Karina Lorentzen Dehnhardt_video_44_start_4-44-22
" Jeg vil starte med at sige noget af det, jeg har hørt ministeren sige. Ministeren er meget åben over for konkrete forslag på det her område. Det her område med miljø og tilpasning, samarbejde med kommunerne, ligger regeringen rigtig meget på sinde. Så jeg bliver simpelthen nødt til at korrigere SF's ordfører på det her område. Det er simpelthen ikke korrekt. Regeringen har ikke på noget som helst tidspunkt sagt, at de ikke vil tage en samtale om det her. Hverken den socialdemokratiske ordrefører, ministeren eller Venstres ordrefører. Lad mig starte med at sige, at vi deler ambitionen om at give kommunerne mere frihed og at styrke deres rolle i den grønne omstilling. Det er afgørende, at kommunerne har de nødvendige redskaber til at arbejde for at sikre rent drikkevand, fremme biodiversiteten, reducere klimabelastning og beskytte vores kystområder. Derfor vil jeg også meget gerne være med til at drøfte konkrete initiativer på området. Dog mener vi, at kommunerne allerede har betydelige redskaber til rådighed for at fremme den grønne omstilling. For eksempel har de mulighed for at arbejde med drikkevandsbeskyttelse ved en energi på land. Desværre er det bare ikke altid, at disse muligheder bliver udnyttet godt nok og til fuld tilfredsstillelse ude i alle kommuner. Så selvom frivilligheden normalt er den bedste løsning, kan det også på nogle områder være nødvendigt at indføre klare og ensartet krav til kommunerne. Særligt når det eksempelvis handler om at beskytte områderne omkring drikkevandsboringer. Vi skal nemlig sikre, at vi beskytter vores drikkevand også til de kommende generationer. Ministeren har allerede været inde på en hel del områder, hvor der er i gang sat initiativer. Så selvom vi i Moderaterne anerkender behov for at give kommunerne handlefrihed, mener vi, at det er vigtigt at balancere det med klare retningslinjer og krav. Det er vores ansvar. Det er kun vores ansvar at sikre, at den grønne omstilling skrider frem på en bæredygtig og effektiv måde. Og det er jo noget, vi skal gøre i fællesskab herinde i Folketinget. Alle 179 i samarbejde med alle vores dygtige kommunalpolitikere ude i det ganske danske land. Derfor må vi også stemme imod dette beslutningsforslag, da vi tror på, at vores nuværende initiativ og planer er vejen frem for at opnå dette mål. Vi er altid, altid, altid, altid, altid åbne for bedre løsninger og konkrete forslag fra alle vores kollegaer herinde, så vi kan finde den bedste løsning for vores miljø. Jeg ser frem til at fortsætte dialogen om, hvordan vi bedst kan sikre en grønnere fremtid. Tak for jeres opmærksomhed. Moderaterne kan ikke støtte forslaget.",Charlotte Bagge Hansen_video_40_start_1-59-38
" Tak for det, og tak, synes jeg også, for en tale, der fører os lidt tilbage i historiebøgerne. Man skal selvfølgelig også tilbage i historien for at blive klogere i forhold til fremtiden. Selv har jeg interesseret mig lidt for den 11. december 2002. Det er cirka et år efter, at VIK-regeringen har siddet ved magten. Herre Anders Fogh er statsminister. Fru Pia Kærsgaard og Dansk Folkeparti er støtteparti. Der kommer der et lovforslag herinde i Folketingssalen omkring indfødsret, Dansk Folkeparti stemmer for. Det gør de efterfølgende, har jeg noteret mig frem til, 13 gange. Det vil sige 14 gange har Dansk Folkeparti stemt for loven om indflydelseret. Og hvad jeg kan se, så er det omkring 35.000 mennesker, som Dansk Folkeparti har været med til at give statsborgerskab i Danmark. Det kunne jeg godt tænke mig at høre, om Orføren vil bekræfte, at det forholder sig sådan. – Ja, værsgo til Orføren.",Anders Kronborg_video_41_start_4-33-32
" Det handler nemlig om børnene og besøgelser og brevkontrol, som vi ikke har nogle særlig gode opgørelser over, men som jeg i hvert fald har set et tal på, ligger på omkring 50 procent. Det her betyder, at ægte fælder må tage fri for arbejde, fordi det skal ligge i arbejdstiden. Politiets arbejdstid, vel at mærke. Det er børnene, der skal hives ud af skolen i forvejen. Er de i en sårbar situation? Så kunne vi ikke finde en bedre løsning, hvor der også kan laves, hvis man skal oprette det holde den her ordning? Noget, som ikke går ud over børnenes skole og de voksnes arbejde.",Karina Lorentzen Dehnhardt_video_44_start_5-02-40
" Det er også noget, vi sætter rigtig stor pris på at lave de her aftaler. Men igen, det er jo noget, vi stadigvæk har hånd i hanke med, og vi holder øje med, og vi kan følge, så vi ikke går længere, end at vi også stadigvæk her i Folketinget kan tage det overordnede ansvar.",Birgitte Vind_video_40_start_1-48-19
" Det er et usædvanligt beslutningsforslag. Hvor konkret nogle beslutningsforslag er, vi skal komme med, før vi kan få lov til, at Moderaterne synes, det er en god idé. Er det næste gang, at radikale venstre kommer med et beslutningsforslag på de grønne områder, så skal de sige på matriklenummer D og D i den og den kommune, der ønsker vi, at det her bliver ændret. Eller kan man gøre det mere generalistisk og sige, at inden for den her kommunegrænse, der synes vi, at det er ok at lave bedre vilkår? Eller bliver det simpelthen for generalistisk, at det er inden for de 98 kommunegrænser?",Kim Edberg Andersen_video_40_start_2-15-42
