gender,name,party,landsdel,storkreds,personal_votes
f,Aki-Matilda Høegh-Dam,Siumut,Grønland,N/A,6655
m,Alex Ahrendtsen,Dansk Folkeparti,Sjælland-Syddanmark,Fyns Storkreds,1477
m,Alex Vanopslagh,Liberal Alliance,Midtjylland-Nordjylland,Østjyllands Storkreds,38284
m,Alexander Ryle,Liberal Alliance,Hovedstaden,Københavns Storkreds,1948
m,Anders Kronborg,Socialdemokratiet,Sjælland-Syddanmark,Sydjyllands Storkreds,7407
f,Ane Halsboe-Jørgensen,Socialdemokratiet,Midtjylland-Nordjylland,Nordjyllands Storkreds,5469
f,Anna Falkenberg,Sambandsflokkurin,Færøerne,N/A,2973
f,Anne Paulin,Socialdemokratiet,Midtjylland-Nordjylland,Vestjyllands Storkreds,6905
f,Anne Valentina Berthelsen,Socialistisk Folkeparti,Sjælland-Syddanmark,Sjællands Storkreds,1383
f,Annette Lind,Socialdemokratiet,Midtjylland-Nordjylland,Vestjyllands Storkreds,9797
f,Anni Matthiesen,Venstre,Sjælland-Syddanmark,Sydjyllands Storkreds,9540
f,Astrid Carøe,Socialistisk Folkeparti,Sjælland-Syddanmark,Sjællands Storkreds,2111
f,Astrid Krag,Socialdemokratiet,Sjælland-Syddanmark,Sjællands Storkreds,7872
m,Benny Engelbrecht,Socialdemokratiet,Sjælland-Syddanmark,Sydjyllands Storkreds,10657
f,Betina Kastbjerg,Danmarksdemokraterne,Midtjylland-Nordjylland,Vestjyllands Storkreds,2037
f,Birgitte Vind,Socialdemokratiet,Sjælland-Syddanmark,Sydjyllands Storkreds,7116
m,Bjarne Laustsen,Socialdemokratiet,Midtjylland-Nordjylland,Nordjyllands Storkreds,7601
m,Bjørn Brandenborg,Socialdemokratiet,Sjælland-Syddanmark,Fyns Storkreds,11167
f,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,Sjælland-Syddanmark,Sjællands Storkreds,1965
f,Camilla Fabricius,Socialdemokratiet,Midtjylland-Nordjylland,Østjyllands Storkreds,4510
m,Carl Valentin,Socialistisk Folkeparti,Hovedstaden,Københavns Storkreds,2631
m,Carsten Bach,Liberal Alliance,Midtjylland-Nordjylland,Vestjyllands Storkreds,2103
f,Charlotte Bagge Hansen,Moderaterne,Sjælland-Syddanmark,Sjællands Storkreds,2187
f,Charlotte Broman Mølbæk,Socialistisk Folkeparti,Midtjylland-Nordjylland,Østjyllands Storkreds,2982
f,Charlotte Munch,Danmarksdemokraterne,Hovedstaden,Københavns Omegns Storkreds,648
m,Christian Friis Bach,Radikale Venstre,Midtjylland-Nordjylland,Nordjyllands Storkreds,1489
m,Christian Rabjerg Madsen,Socialdemokratiet,Sjælland-Syddanmark,Sydjyllands Storkreds,7643
f,Christina Olumeko,Alternativet,Hovedstaden,Københavns Storkreds,3476
m,Christoffer Aagaard Melson,Venstre,Sjælland-Syddanmark,Sydjyllands Storkreds,6460
m,Dan Jørgensen,Socialdemokratiet,Sjælland-Syddanmark,Fyns Storkreds,8256
m,Dennis Flydtkjær,Danmarksdemokraterne,Midtjylland-Nordjylland,Vestjyllands Storkreds,7501
m,Erling Bonnesen,Venstre,Sjælland-Syddanmark,Fyns Storkreds,6489
f,Fie Hækkerup,Socialdemokratiet,Hovedstaden,Nordsjællands Storkreds,5789
m,Flemming Møller Mortensen,Socialdemokratiet,Midtjylland-Nordjylland,Nordjyllands Storkreds,6194
f,Franciska Rosenkilde,Alternativet,Hovedstaden,Københavns Storkreds,15699
m,Frederik Vad,Socialdemokratiet,Sjælland-Syddanmark,Sjællands Storkreds,5082
m,Hans Andersen,Venstre,Hovedstaden,Nordsjællands Storkreds,4031
m,Hans Christian Schmidt,Venstre,Sjælland-Syddanmark,Sydjyllands Storkreds,5084
m,Hans Kristian Skibby,Danmarksdemokraterne,Midtjylland-Nordjylland,Østjyllands Storkreds,3112
f,Helena Artmann Andresen,Liberal Alliance,Sjælland-Syddanmark,Sydjyllands Storkreds,1143
f,Helene Liliendahl Brydensholt,Alternativet,Hovedstaden,Nordsjællands Storkreds,1183
f,Helle Bonnesen,Det Konservative Folkeparti,Hovedstaden,Københavns Storkreds,2783
m,Henrik Dahl,Liberal Alliance,Sjælland-Syddanmark,Sydjyllands Storkreds,5779
m,Henrik Frandsen,Moderaterne,Sjælland-Syddanmark,Sydjyllands Storkreds,6206
m,Henrik Møller,Socialdemokratiet,Hovedstaden,Nordsjællands Storkreds,4218
f,Ida Auken,Socialdemokratiet,Hovedstaden,Københavns Storkreds,9879
f,Inger Støjberg,Danmarksdemokraterne,Midtjylland-Nordjylland,Nordjyllands Storkreds,47211
m,Jacob Jensen,Venstre,Sjælland-Syddanmark,Sjællands Storkreds,5797
m,Jacob Mark,Socialistisk Folkeparti,Sjælland-Syddanmark,Sjællands Storkreds,31235
m,Jakob Ellemann-Jensen,Venstre,Midtjylland-Nordjylland,Østjyllands Storkreds,20945
m,Jakob Engel-Schmidt,Moderaterne,Hovedstaden,Nordsjællands Storkreds,4252
m,Jan E. Jørgensen,Venstre,Hovedstaden,Københavns Storkreds,4270
m,Jens Henrik Thulesen Dahl,Danmarksdemokraterne,Sjælland-Syddanmark,Fyns Storkreds,2210
m,Jens Joel,Socialdemokratiet,Midtjylland-Nordjylland,Østjyllands Storkreds,6418
m,Jens Meilvang,Liberal Alliance,Midtjylland-Nordjylland,Østjyllands Storkreds,1642
m,Jeppe Bruus,Socialdemokratiet,Hovedstaden,Københavns Omegns Storkreds,4507
m,Jeppe Søe,Moderaterne,Midtjylland-Nordjylland,Vestjyllands Storkreds,2452
m,Jesper Petersen,Socialdemokratiet,Sjælland-Syddanmark,Sydjyllands Storkreds,8701
f,Jette Gottlieb,Enhedslisten,Hovedstaden,Københavns Storkreds,1147
m,Jon Stephensen,Moderaterne,Hovedstaden,Københavns Storkreds,1550
