name;text;duration;start_clock;end_sec;start_sec;start_min;end_min;video_id
Mai Mercado;Så bliver jeg bare nødt til at læse op af hr. Mikkel Bjørns eget forslag, hvor der står: »Folketinget pålægger regeringen i indeværende folketingsår at udarbejde initiativer, som sikrer, at politiet altid, når et sådant er til rådighed, oplyser et præcist signalement ved udgivelse af døgnrapporter eller omtale af specifikke hændelser«. Det er jo ikke mig, der står og finder på, at det her kommer til at skade efterforskningen. Det er jo lige præcis de store og vigtige aktører som eksempelvis Dommerforeningen og politiet, som vurderer, at det her forslag kommer til at gøre mere skade end gavn.;33.0;16:34:54;12960;12927;3:35:27;3:36:00;44
Mai Mercado;Ja, grundlæggende ja. Og vi kunne jo godt tænke os, at man, når det eksempelvis handler om, at den varetægtsfængslede er kommet igennem og har fået sin dom og skal afsone sin straf, faktisk vender løsladelseskriterierne om, således at positiv og god opførsel medfører en tidligere løsladelse, i forhold til i dag, hvor der bare sådan lidt automatisk er en tidligere løsladelse, hvis man har afsonet to tredjedele af sin straf. Deri kunne det også være, at man rent faktisk bevarer familiebåndet. For vi ved, at noget af det vigtigste er bevarelsen af familiebåndet, hvis man efterfølgende rent faktisk skal leve et kriminalitetsfrit liv.;54.0;18:46:32;20879;20825;5:47:05;5:47:59;44
Mai Mercado;"Tak. Lad mig starte med en opfordring om at anvende et præcist sprogbrug, når vi taler om voldtægt. Lad os bruge de betegnelser, der er de korrekte, frem for dem, der er de politisk korrekte. Jeg har bemærket, hvordan flere i salen i dag bruger den kønsneutrale betegnelse gerningspersoner i stedet for det oprindelige ord gerningsmænd. Det er unødvendigt at blive så politisk korrekte. En gerningsmand kan selvfølgelig i bredere forstand godt være en kvinde, ligesom en politimand også kan være en kvinde, men lige præcis i det her tilfælde, er det ikke rigtigt at udvande sproget og gøre det kønsløst, for det er mænd, der voldtager. Mænd voldtager kvinder, eller mænd voldtager andre mænd. Derfor er den præcise betegnelse også gerningsmænd og ikke gerningspersoner. For ved at reducere dem til gerningspersoner åbner man op for, at kvinder også voldtager, og det signalerer, at den kriminalitetsform begås af både mænd og kvinder. Det gør den ikke. Det er mænd, der voldtager kvinder. Så lad os bruge det udtryk, som passer til lige præcis den her kriminalitetsform; lad os bruge betegnelsen korrekt, i stedet for at det bliver politisk korrekt. Igennem de senere år er der sket en stigning i antallet af registrerede voldtægter, og stigningen er markant. Det fremgår af beslutningsforslaget, at der i 2010 var 398 registrerede anmeldelser af voldtægt, og i 2022 var det tal steget til 1.780. Jeg synes egentlig, debatten i dag har været sådan lidt ærgerlig – ærgerlig, fordi regeringen så let kunne gå ind i det her og med så få midler rent faktisk kunne sikre, at vi fik et opdateret vidensgrundlag. For vores viden om gerningsmændene er jo ikke steget tilsvarende, som tallene er. Faktisk er der meget, vi ikke ved. Derfor støtter vi i Konservative dette beslutningsforslag fra SF, som altså skal sikre en ny opdateret undersøgelse af gerningsmænd i voldtægtssager.";145.0;17:25:01;16079;15934;4:25:34;4:27:59;44
Mona Juul;"Tak for ordet, og tak til forslagsstillerne. Der er jo ikke nogen tvivl om, at vi i de her år har brug for både at udvikle og tøjle kunstig intelligens. Forslaget her adresserer den rivende udvikling, vi er i, og fokuserer på nogle af de restriktioner, som der kan være behov for, nemlig at der foretages risikovurderinger ved forskellige typer sagsbehandlingers anvendelse af kunstig intelligens, at der udarbejdes retningslinjer for virksomheders og myndigheders anvendelse af kunstig intelligens, og at der skrives retfærdighedsprincipper for anvendelsen af den nye teknologi ind i produktansvarsloven og forvaltningsloven. Det er langt hen ad vejen rigtig fint. Men grundlæggende er det svært at forstå behovet for beslutningsforslaget. For som forslagsstillerne også selv bemærker, er der jo EU-regulering på trapperne. Det er der flere ordførere der har været inde på. Ministeren var det også selv. Det er regulering, der netop adresserer, hvor der skal trædes på bremsen, og som det ikke giver meget mening at lave national lovgivning om, tænker vi. Hvis vi skal gå enegang, vil det også være helt afgørende, at vi får en grundig drøftelse af, hvad der ligger i bl.a. retfærdighedsprincippet. Ordførerne på forslaget har jo spurgt flere om det og sagt, at vi måske bare skal kigge på det, måske bare have en drøftelse af det. Det kan vi sagtens være med til, men det kræver det virkelig også. For det kan være frygtelig bøvlet for særlig små virksomheder at arbejde med lige præcis den her del, og det vil være en enegang, som uanset hvad vil risikere at bremse udviklingen og sænke danske virksomheders konkurrenceevne. Det perspektiv skal vi jo også have med, for det er det sidste, vi har brug for lige nu og her. Samtidig mener jeg, at hvis vi skal gå ind i sådan et forslag her, skal der også fokus på speederen. Det er ikke nok at have foden på bremsen. Hvad er det, der skal til, for at vi kommer hurtigere og bedre op at flyve, når det gælder kunstig intelligens? For dansk er et lille sprogområde. Her kunne vi f.eks. overveje at slippe nogle flere data, ikkefølsomme data, løs som træningsdata. For f.eks. at få chatbots af høj kvalitet og troværdighed skal der jo bruges træningsdata af høj kvalitet og troværdighed. Danmarks Radio har masser af egenproduceret kvalitetsindhold, som jo allerede er betalt af skattekroner, men DR har valgt at blokere for, at robotter kan læse og lære med. Det er jo et sted, hvor vi kunne kigge på det. I Japan har man en væsentlig mere liberal tilgang. Det kan være, det er for voldsomt, men der er i hvert fald mulighed for at øve sig, og det er det, vi har behov for. Det er også det, som dansk erhvervsliv har behov for, hvis de skal løse nogle af vores store udfordringer med klima og sundhed. Vi kunne bl.a. også bare lade os inspirere af tilgangen hos Statens Museum for Kunst, som digitaliserer værker og stiller dem til rådighed for hele internettet og lader andre bruge løs og udstille dem på deres egne platforme. Det gør man med skarpt øje for formålet om at fremme kulturarven, så enhver kan bruge værkerne i alt fra skoleopgaver til nye digitale platforme. Udbredelse og anvendelse er vigtigere, end at den enkelte bruger besøger Statens Museum for Kunsts egen hjemmeside eller fysiske udstillinger. Den tilgang kan jeg godt lide. Det er klart, at udviklingen af kunstig intelligens bliver et væsentligt konkurrenceparameter i de kommende årtier. Ergo er der efter vores mening brug for en lidt mere liberal tilgang, så vi får de konkurrencedygtige virksomheder op at flyve; en mere liberal tilgang i reguleringen af AI, end der lægges op til i B 42.";195.0;14:56:58;7260;7065;1:57:45;2:01:00;41
Mette Abildgaard;Tusind tak for det. Jeg skal beklage over for mine kollegaer, at jeg ikke var til stede i salen, da det blev min tur. Jeg tror, jeg havde vurderet, at alles talelyst ville være lige så stor, som hr. Morten Messerschmidts lige var, og at alle ville være lige så engagerede i den her sag. Men det gik lidt hurtigere, end jeg lige havde luret. Jeg kan nu gøre det relativt kort på Det Konservative Folkepartis vegne og sige, at vi bakker op om det her lovforslag, som jo i høj grad er en nødvendighed for at få lavet den her præcisering af miljøansvarsloven og det pålæg, der kommer fra EU. Jeg synes, det er svært at vurdere med mine øjne, om man gør tilstrækkeligt for at nå i mål. Men det er nok en af de sager, hvor jeg må være helt ærlig og sige, at man må have tillid til, at vi har dygtige embedsmænd, der har lavet den nødvendige og korrekte vurdering af, at de justeringer nu er det, der skal til. Så jeg vil have den grundlæggende tillid. Tak.;50.0;13:14:03;925;875;0:14:35;0:15:25;40
Mette Abildgaard;Mange tak for det. Jeg kom sådan til at sidde og tænke på, da jeg før hørte en af de andre taler, min egen far. Han har lavet meget forskelligt i sit arbejdsliv. Han har kørt lastbil og været entreprenør og kloakmester og alt muligt, men han har også arbejdet en del år hos Åstruplund Nedbrydning, og hos Åstruplund Nedbrydning rev de jo et hav af bygninger ned. Min far har nok alligevel været lidt forud for sin tid, selv om jeg ikke tror han vil kalde sig selv for den store klimaforkæmper på nogen måde – det er han sådan lidt for østjysk træmand til – men jeg tænker på de gange, min far kom slæbende hjem med brugbare materialer, som var blevet kasseret. Han kom sågar engang hjem med en kartoffelskræller, som havde stået på et gammelt plejehjem. Det var meget praktisk, når man havde syv børn derhjemme, at have sådan en automatisk kartoffelskrællemaskine. Men mængden af ressourcer, der er blevet kasseret igennem årtier, når vi har brudt ned, er tankevækkende, og det er bekymrende, når vi ved, hvor meget af vores CO2-forbrug, der er lagret i bygninger, og når vi ved, hvor hårdt belastende det er, hver gang vi bygger nyt og bruger nye ressourcer. Vi ved, at vores CO2-aftryk pr. dansker er alt, alt for højt, og derfor giver det rigtig god mening, at der nu kommer det her lovforslag. Det er jo en udmøntning af en klimaaftale om en grøn affaldssektor og cirkulær økonomi tilbage fra 2020, som Det Konservative Folkeparti også var en del af, da aftalen blev indgået. Så var der et element, hvor vi ikke kunne nå hinanden hen ad vejen, omkring det her med liberalisering af affaldssektoren, hvor vi Konservative endte med at træde ud af aftalen. Men det ændrer ikke på, at vi føler både en loyalitet og en forpligtelse over for de elementer, vi har været med til at indgå aftaler om, og som vi også stadig bakker op om – og det her er et af dem. Det er nødvendigt, at vi får lavet en mere strategisk indsats i forhold til at få genanvendt så mange at de materialer, der overhovedet kan genanvendes. Den eneste bekymring, jeg måske kan have, i forhold til det her lovforslag – og det må vi jo følge hen ad vejen – er den her nye autorisationsordning, og hvordan vi sikrer, at der er nok uddannede folk til at dække det behov, der er. Der har også været en diskussion i salen i dag omkring kvadratmetergrænsen. Burde den være højere eller lavere, og hvordan burde den ligge? Når jeg egentlig tror, at det er fornuftigt nok, at man starter ud, som der lægges op til i lovforslaget her, er det også, under hensyntagen til at der også skal være dygtige medarbejdere, som kan være med til at påse, at den proces, der er, sikrer, at det foregår på den rigtige måde. Så det er også spørgsmål om rent lavpraktisk at have uddannet de medarbejdere. Men vi Konservative bakker op om det her forslag, som vi synes er et godt skridt i den rigtige retning, med hensyn til at vi bliver mere systematiske, og at det ikke bare er min far i Åstrulund Nedbrydning, der kommer hjem med et vindue, der lige kunne bruges som kvistvindue her og der. Tak for ordet.;176.0;13:37:23;2451;2275;0:37:55;0:40:51;40
Mette Thiesen;Tusind tak. Jamen det var egentlig bare for at klarificere. Der var noget af det, som min kollega fik gjort lidt mere klart, men det virker stadig væk ikke, som om fru Rosa Lund forstår det. Her taler vi jo om mennesker, der har fået tildelt statsborgerskab, og så taler vi om danskere. Altså, der er nogle, der har fået tildelt statsborgerskab. Og så forbryder de sig imod den tillid, som den danske stat har givet dem ved at give dem et statsborgerskab, og derfor skal det selvfølgelig fratages, når de har fået deres straf, og så skal de udvises. Og ja, så kan det godt være, at de sidder på et udrejsecenter. Der burde man i øvrigt også låse af, sådan at der var én dør, nemlig døren ud af Danmark. De her mennesker skal slet ikke være her. Det handler jo grundlæggende set om, at vi skal have ryddet op i Danmark efter 40 års forfejlet udlændingepolitik, sådan at vi kan sortere alle dem fra, som er kommet hertil og ikke bidrager positivt på nogen som helst tænkelig måde, tværtimod. Og så kan vi sådan set koncentrere os om danskerne. Ja, der er også danskere, som eksempelvis er bandekriminelle osv., og selvfølgelig skal de i fængsel. Vi så også gerne, at man genindførte en reel livstidsstraf, for de mennesker skal bare væk. Det er bare lige, for at ordføreren forstår, hvad det er, der bliver sagt.;74.0;17:11:18;15199;15125;4:12:05;4:13:19;41
Mette Thiesen;Tak for svarene. Det er jo lidt den samme sang, vi hører hele vejen rundt. Jeg tror bare, at jeg godt kunne tænke mig at høre ordføreren, om ordføreren reelt set mener, at det her kommer til at ændre noget som helst. Det er jo en syltekrukke, som det blev sagt. Selv om man skriver det ind i et regeringsgrundlag, betyder det jo ikke, at der kommer til at ske en hujende fis. Der er jo også andre, der tidligere har talt om det her. Hvordan skulle man ændre den her konvention? Den her konvention har man tilsluttet sig. Man har ratificeret den ind i dansk lovgivning. Mener man reelt set fra Danmarksdemokraternes side, at det er en ret at få dansk statsborgerskab? For i fald man ikke mener, det er ret, som vi kan forstå at Socialdemokratiet, Venstre, Moderaterne, Socialistisk Folkeparti og flere andre synes, vil jeg sige, at det gør man ikke i Dansk Folkeparti. Der kunne jeg bare rigtig godt tænke mig at høre Danmarksdemokraterne med Inger Støjberg i spidsen, om I reelt set mener, at det er en ret at få dansk statsborgerskab? For hvis I ikke mener det, skal I jo stemme for det her forslag.;62.0;16:41:32;13401;13339;3:42:19;3:43:21;41
Sandra Elisabeth Skalvig;Tak til hr. Mikkel Bjørn for anerkendelsen af min tale, også selv om han ikke er enig i afslutningen. Der må jeg simpelt hen sige, som jeg egentlig også har sagt det, at jeg langt hen ad vejen tror, at Liberal Alliance og Dansk Folkeparti ikke er særlig langt fra hinanden, når det kommer til frakendelsessager af statsborgerskab, når det drejer sig om personer, der har fået et dansk statsborgerskab, og som efterfølgende har vist sig at have begået kriminalitet af en særlig farlig karakter. Men som jeg også sagde i min tale, er vi nok ikke enige om fremgangsmetoden. For i Liberal Alliance ønsker vi ikke at udtræde af de internationale konventioner, som vi har tiltrådt, men vi vil til gengæld gerne se på, om vi på nogen måde kan udfordre dem og eventuelt ændre dem. Og det hører jeg egentlig også at andre partier her i Folketingssalen er interesserede i.;54.0;16:50:22;13923;13869;3:51:09;3:52:03;41
Sandra Elisabeth Skalvig;Man kan sige, at når vi snakker politik med andre partier – det er Socialdemokratiet, lige så vel som det er Moderaterne, det er Det Konservative Folkeparti, og det er Radikale Venstre – taler vi jo oftest om de ting, som vi kan blive enige om, eller hvor vi i hvert fald måske kan indgå kompromiser. Og når det kommer til udlændingepolitikken, er der højst sandsynligt nogle ting, vi alle tre partier måske godt kan blive enige om. Men jeg tror også, der er nogle ting, som vi i den grad er uenige om.;32.0;16:54:42;14161;14129;3:55:29;3:56:01;41
