name,text,duration,start_clock,end_sec,start_sec,start_min,end_min,video_id
Mikkel Bjørn,"En 18-årig nyudklækket student fik sig en kedelig afslutning på studentertiden, da hun i sommers blev omringet af 7-8 såkaldte drenge på omkring 16 år sent om natten på Birkerød Station og fik frarøvet sin studenterhue. Nordsjællands Politi valgte ikke at give et signalement af de 8 drenge; i stedet oplyste man et ubrugeligt signalement af studenterhuens røde bånd. Studenterhuen blev beskrevet som hvid med bordeauxbånd og flag, som det lød. Ja, det lyder som en dårlig vittighed. I stedet for at give et signalement af overfaldsmændene oplyste man et signalement af en studenterhue, der er stort set identisk med alle andre studenterhuer. I nyheder i lokale og landsdækkende medier om trusler, voldtægter, gruppeoverfald og lignende forbrydelser beskrives gerningsmænd som unge drenge, selv om man meget rimeligt kan antage, at der er tale om mennesker fra miljøer med oprindelse uden for Danmark. I Dansk Folkeparti mener vi, at gennemsigtighed er grundlæggende for at styrke borgernes tillid til vores retssystem. Borgerne har ret til præcise og nuancerede oplysninger om den kriminalitet, der præger deres lokalsamfund. Den offentlige debat bør rodfæstes i en fælles virkelighedsopfattelse, der er baseret på faktuelle oplysninger frem fra antagelser eller fordomme. Lovgivningen bør sikre, at politiet altid opgiver et præcist og detaljeret signalement, når et sådant er til rådighed. Det handler ganske enkelt om at konfrontere virkeligheden med åbne øjne uden at pakke sandheden ind, uden halve sandheder eller politisk korrekthed. Vi kan ikke løse virkelighedens problemer, hvis vi ikke har indsigt i problemernes ophav. Tak for ordet.",111.0,15:43:52,9974,9863,2:44:23,2:46:14,44
Leif Lahn Jensen,"Tak til ordføreren. Forhandlingen er hermed åbnet, og den første, der får ordet, er justitsministeren. Velkommen.",13.0,15:45:43,9987,9974,2:46:14,2:46:27,44
Peter Hummelgaard,"Tak for det, og tak til Dansk Folkeparti for at rejse den her debat. Lad mig starte med at slå det helt fast: I regeringen er vi helt enige i, at borgernes tillid til retssystemet og den offentlige debat om kriminalitet er vigtig, og det skal vi altså værne om. Det er vigtigt, at vi tør tage en åben debat om kriminalitet, og også at den debat foregår på et oplyst grundlag. Så på den måde deler jeg kort sagt forslagsstillernes ønske om, at den offentlige debat baserer sig på faktuelle oplysninger, særlig når vi taler om bekæmpelse af kriminalitet. Jeg er dog ikke enig i metoden, og jeg mener, at vi har andre værktøjer til rådighed, som kan give os det faktuelle grundlag, som vi har brug for for at have denne debat. Af den årsag kan regeringen ikke støtte beslutningsforslaget. Først og fremmest bør det understreges, at hele formålet med offentliggørelse af signalementer jo er at få konkrete personer identificeret, efterlyst eller lignende. Offentliggørelse af signalementer tjener altså ikke et formål i sig selv. Offentliggørelsen er alene et middel, politiet kan tage i brug med henblik på at forebygge eller efterforske og retsforfølge forbrydelser. Her er der selvfølgelig også et hensyn at tage til den person, der får sit signalement offentliggjort. Det kan f.eks. være en mistænkt, der senere viser sig at være uskyldig. Vores nuværende regler i retsplejeloven sikrer i den forbindelse en fin balance mellem hensynet til det offentlige, dvs. vores interesse i at forfølge kriminalitet, og hensynet til den, der får sine oplysninger delt. Den balance skal selvfølgelig være der. Formålet med at sikre et velunderbygget overblik over f.eks. kriminalitet, som jeg også må forstå er baggrunden for beslutningsforslaget, bliver sikret på anden vis. Danmarks Statistik udarbejder omfattende statistiske oversigter over kriminalitet og kriminalitetstendenser i Danmark. Det gælder f.eks. statistikken over dømte personer efter straffeloven, der gør det muligt at underinddele gerningspersoner i køn, alder og herkomst. Sådan en statistik og undersøgelse giver et langt mere solidt, faktuelt grundlag for en offentlig debat, f.eks. om kriminalitetsbekæmpelse, end offentliggørelse af enkeltpersoners signalementer. Afslutningsvis vil jeg blot understrege, at politiet og domstolene selvfølgelig allerede i dagskaljournalisere relevante oplysninger. Det er dog vigtigt at fremhæve, at det ikke altid er relevant at journalisere et signalement i den konkrete sag. Ofte vil det modsatte være tilfældet. Det kan f.eks. være tilfældet, når den pågældendes identitet allerede er kendt, så et navn og cpr-nummer er tilstrækkeligt. Det ville i sådan nogle sammenhænge være svært at forklare myndighederne og skatteyderne, hvorfor myndighederne skal bruge tid og ressourcer på at journalisere og offentliggøre signalementer, der ikke er nødvendige for strafforfølgelse. Samlet set deler regeringen forslagsstillernes ønske om, at den offentlige debat baserer sig på faktuelle oplysninger, men vi mener altså ikke, at det, der foreslås i beslutningsforslaget, bidrager til det. Tak for ordet.",190.0,15:45:56,10177,9987,2:46:27,2:49:37,44
Leif Lahn Jensen,Tak til ministeren. Der er indtil videre en enkelt bemærkning. Den er til hr. Mikkel Bjørn.,4.0,15:49:06,10181,10177,2:49:37,2:49:41,44
Mikkel Bjørn,"Tak for det. Ministeren siger, at det vil være svært at forklare myndighederne og efterfølgende skatteyderne, hvorfor det her tiltag er nødvendigt. Jeg skal ikke kunne afvise, at det vil være svært at forklare til myndighederne, for de er indimellem lidt tungnemme, men at forklare skatteyderne, hvorfor det her er nødvendigt, tror jeg sådan set ikke er særlig svært. For jeg ved, der sidder rigtig mange borgere derude, som er dybt frustrerede over at læse nyheder i lokale og nationale medier om gruppeoverfald, gruppevoldtægter, brandbiler, der er blevet beskudt med fyrværkeri, og politi, der er blevet angrebet i ghettoområder, hvor beskrivelsen i artiklerne så er, at det er noget, der er blevet begået af unge drenge. Altså, enhver med en lille smule forstand i hovedet ved jo godt, hvem det er, der begår den her type kriminalitet. Derfor er det jo uærligt, hvis man, som ministeren gør, insisterer på, at den sandhed skal skjules og holdes hemmelig for befolkningen, når de fleste godt ved, hvad det er, der er tale om. Jeg forstår grundlæggende ikke ministerens argumentation.",62.0,15:49:10,10243,10181,2:49:41,2:50:43,44
Leif Lahn Jensen,Ministeren.,2.0,15:50:12,10245,10243,2:50:43,2:50:45,44
Peter Hummelgaard,"Så må jeg jo sige, at jeg heller ikke forstår hr. Mikkel Bjørns argumentation, for al den oplysning, viden og transparens, som hr. Mikkel Bjørn efterlyser, er jo til stede i dag. Allerede i dag bliver det jo registreret i statistikkerne, både alder, køn og i øvrigt også herkomst. Vi har sågar også for nogle få år tilbage underinddelt herkomstgrupperingerne i bl.a. MENAP-lande osv., hvilket jo er med til at bidrage til, at vi også har en oplyst debat om, hvor i samfundet det sker, og hvilke persongrupper der begår kriminaliteten. Så jeg kan i virkeligheden svare det samme, som hr. Mikkel Bjørn gør: Jeg forstår heller ikke argumentationen bag, at vi skal have myndigheder til at sidde og registrere, hvad der i situationen er en politifaglig vurdering af behovet for at udsende et signalement, når man i lige så mange sammenhænge ikke udsender et signalement, fordi man sikkert allerede på forhånd har håndfaste beviser og mistænkte at gå efter.",60.0,15:50:14,10305,10245,2:50:45,2:51:45,44
Leif Lahn Jensen,Spørgeren.,1.0,15:51:14,10306,10305,2:51:45,2:51:46,44
Mikkel Bjørn,"Der er jo ikke nogen myndigheder, der skal sidde og registrere noget, når det, som ministeren siger, allerede er sådan, at de her oplysninger er registreret. Det, det handler om, er, at der ikke skal lækkes låg på de her oplysninger. Det handler om, at det, når borgeren sidder og læser en artikel om en eller anden ung 14-årig pige, der er blevet gruppevoldtaget af to unge drenge, så ville være helt åbenlyst, at det selvfølgelig skal fortælles, at det her er to unge drenge med oprindelse i eksempelvis Somalia eller Afghanistan. For vi ved godt, at det er de mennesker, der begår den her type kriminalitet. Er ministeren ikke enig i det forhold?",32.0,15:51:15,10338,10306,2:51:46,2:52:18,44
Leif Lahn Jensen,Ministeren.,1.0,15:51:47,10339,10338,2:52:18,2:52:19,44
